State,CountyName,Metro,RegionName,1 BR Median Price,2 BR Median Price,3 BR Median Price,4 BR Median Price,5+ BR Median Price
CA,San Diego County,San Diego-Carlsbad,El Cajon,475.0,565.0,783.3333333333334,0.0,0.0
CA,San Diego County,San Diego-Carlsbad,Encinitas,666.6666666666666,933.3333333333334,1383.3333333333333,0.0,0.0
CA,San Diego County,San Diego-Carlsbad,Escondido,368.75,455.0,650.25,750.0,0.0
CA,San Diego County,San Diego-Carlsbad,Imperial Beach,483.3333333333333,611.6666666666666,883.3333333333334,0.0,0.0
CA,San Diego County,San Diego-Carlsbad,La Mesa,550.0,665.0,833.3333333333334,0.0,0.0
CA,San Diego County,San Diego-Carlsbad,Oceanside,437.5,511.25,650.0,723.125,0.0
CA,San Diego County,San Diego-Carlsbad,San Diego,400.0,514.0,628.0,769.0,1100.0
CA,San Diego County,San Diego-Carlsbad,San Marcos,462.75,576.125,712.5,750.0,0.0
CA,San Diego County,San Diego-Carlsbad,Santee,0.0,879.0,1225.0,0.0,0.0
CA,San Diego County,San Diego-Carlsbad,Spring Valley,0.0,948.5,1212.5,0.0,0.0
CA,San Diego County,San Diego-Carlsbad,Vista,566.6666666666666,642.6666666666666,831.6666666666666,0.0,0.0
CA,San Francisco County,San Francisco-Oakland-Hayward,San Francisco,875.0,1149.875,1375.0,1581.25,0.0
CA,San Joaquin County,Stockton-Lodi,Manteca,0.0,0.0,1897.5,0.0,0.0
CA,San Joaquin County,Stockton-Lodi,Stockton,248.75,337.5,400.0,490.625,0.0
CA,San Joaquin County,Stockton-Lodi,Tracy,339.0,379.0,450.0,500.0,530.0
CA,San Luis Obispo County,San Luis Obispo-Paso Robles-Arroyo Grande,Paso Robles,0.0,2135.0,0.0,0.0,0.0
CA,San Luis Obispo County,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo,0.0,1075.0,1450.0,0.0,0.0
CA,San Mateo County,San Francisco-Oakland-Hayward,Belmont,2397.5,0.0,0.0,0.0,0.0
CA,San Mateo County,San Francisco-Oakland-Hayward,Burlingame,1291.0,1792.75,0.0,0.0,0.0
